"Create an Account", "Регистрация"
"My Account", "Гараж"
"Sign In", "Вход"
"My Wish List", "Избранное"
"Compare Products", "Сравнение"
"Sign Out", "Выход"
"My Cart", "Корзина"
"Product catalog", "Каталог товаров"
"Home", "Главная"
"Out of stock", "Нет в наличии"
"Notify me when this product is in stock", "Сообщить о поступлении"
"Reviews", "отзыва"
"
                                    Reviews ", "отзыва"
"Be the first to review this product", "Будьте первым кто оценит этот продукт"
"In stock", "В наличии"
"Add Your Review", "Добавить отзыв"
"Add to Compare", "Сравнить"
"Add to Wish List", "B избранное"
"Related Products", "Похожие товары"
"Sku", "Код товара : "
"Qty", "Количество"
"Ends", "Заканчиваетса"
"Product Name", "Наименование товара"
"In stock", "В наличии"
"Specify", "Уточните"
"Details", "Описание"
"Reviews", "Отзывы"
"Review", "Отзывы"
"Reviews '%'", "Отзывы"
"We found other products you might like", "Могут понравиться"
"Learn more", "Узнать больше"
"Search entire store here...", "Поиск по названию, коду, категории товара"
"Availability", "Доступность"
"Add to Cart", "Добавить в корзину"
"Sort By", "Сортировать"
"Price", "Цена"
"Shopping Options", "Варианты покупок"
"Shop By", "Фильтры"
"More Information","Характеристики"
"Goods", " товара"
"Add review", "Оставить отзыв"
"Recently Viewed", "Вы просматривали"
"Customer Reviews", "Отзывы"
"Add To Cart", "Купить"
"We found other products you might like!", "Вам могут понравиться"
"Customize and Add to Cart", "Настроить и добавить"
"Sale", "Скидка "
